anomalia,tipo,grupo,anio,jurisdiccion,jurisdiccion_nombre,nacimientos,casos_total,casos_nv,casos_fm,casos_ile,casos_ne,casos_aislado,casos_acm,casos_sme,factor,prev,ic_inf,ic_sup
hlptrue,total,,2020,SANJUAN,San Juan,6788,62,60,2,0,0,38,9,15,100,0.91,0.7,1.17
hlptrue,total,,2020,SANLUIS,San Luis,3156,62,59,2,0,1,40,9,13,100,1.96,1.51,2.52
hlptrue,total,,2020,SANTACRUZ,Santa Cruz,1754,22,19,3,0,0,12,6,4,100,1.25,0.79,1.9
hlptrue,total,,2020,SANTAFE,Santa Fe,18795,233,227,3,0,3,166,28,39,100,1.24,1.09,1.41
hlptrue,total,,2020,SANTIAGO,Santiago del Estero,4347,51,51,0,0,0,32,9,10,100,1.17,0.87,1.54
hlptrue,total,,2020,TIERRADELFUEGO,Tierra del Fuego,515,2,2,0,0,0,1,0,1,100,0.39,0.05,1.4
hlptrue,total,,2020,TUCUMAN,Tucumán,11261,141,136,5,0,0,91,15,35,100,1.25,1.05,1.48
hlptrue,total,,2021,ARGENTINA,Argentina,232944,4232,3988,138,98,8,3013,480,739,100,1.82,1.76,1.87
hlptrue,total,,2021,BUENOSAIRES,Buenos Aires,73055,1258,1192,36,24,6,906,144,208,100,1.72,1.63,1.82
hlptrue,total,,2021,CABA,CABA,31175,941,870,31,40,0,695,92,154,100,3.02,2.83,3.22
hlptrue,total,,2021,CATAMARCA,Catamarca,2204,30,30,0,0,0,17,1,12,100,1.36,0.92,1.94
hlptrue,total,,2021,CHACO,Chaco,8452,128,128,0,0,0,76,15,37,100,1.51,1.26,1.8
hlptrue,total,,2021,CHUBUT,Chubut,2497,43,42,1,0,0,32,1,10,100,1.72,1.25,2.32
hlptrue,total,,2021,CORDOBA,Córdoba,16873,336,294,22,20,0,237,34,65,100,1.99,1.78,2.22
hlptrue,total,,2021,CORRIENTES,Corrientes,3677,43,43,0,0,0,27,11,5,100,1.17,0.85,1.58
hlptrue,total,,2021,ENTRERIOS,Entre Ríos,6178,74,65,4,3,2,60,4,10,100,1.2,0.94,1.5
hlptrue,total,,2021,FORMOSA,Formosa,2919,50,49,1,0,0,33,10,7,100,1.71,1.27,2.26
hlptrue,total,,2021,JUJUY,Jujuy,4848,58,54,3,1,0,37,10,11,100,1.2,0.91,1.55
hlptrue,total,,2021,LAPAMPA,La Pampa,638,8,8,0,0,0,5,0,3,100,1.25,0.54,2.47
hlptrue,total,,2021,LARIOJA,La Rioja,2681,67,66,1,0,0,50,6,11,100,2.5,1.94,3.17
hlptrue,total,,2021,MENDOZA,Mendoza,5657,131,129,2,0,0,100,13,18,100,2.32,1.94,2.75
hlptrue,total,,2021,MISIONES,Misiones,10115,233,224,8,1,0,176,27,30,100,2.3,2.02,2.62
hlptrue,total,,2021,NEUQUEN,Neuquén,3435,33,29,4,0,0,11,6,16,100,0.96,0.66,1.35
hlptrue,total,,2021,RIONEGRO,Río Negro,1930,40,36,4,0,0,23,9,8,100,2.07,1.48,2.82
hlptrue,total,,2021,SALTA,Salta,11185,157,151,5,1,0,111,18,28,100,1.4,1.19,1.64
hlptrue,total,,2021,SANJUAN,San Juan,6498,59,58,1,0,0,36,9,14,100,0.91,0.69,1.17
hlptrue,total,,2021,SANLUIS,San Luis,3333,59,58,1,0,0,35,11,13,100,1.77,1.35,2.28
hlptrue,total,,2021,SANTACRUZ,Santa Cruz,1392,25,22,1,2,0,15,2,8,100,1.8,1.16,2.65
hlptrue,total,,2021,SANTAFE,Santa Fe,19680,283,274,5,4,0,215,33,35,100,1.44,1.28,1.62
hlptrue,total,,2021,SANTIAGO,Santiago del Estero,4067,52,50,2,0,0,32,8,12,100,1.28,0.95,1.68
hlptrue,total,,2021,TIERRADELFUEGO,Tierra del Fuego,778,14,12,0,2,0,9,3,2,100,1.8,0.98,3.02
hlptrue,total,,2021,TUCUMAN,Tucumán,9677,110,104,6,0,0,75,13,22,100,1.14,0.93,1.37
hlptrue,total,,2022,ARGENTINA,Argentina,236362,4498,4219,155,116,8,3271,521,706,100,1.9,1.85,1.96
hlptrue,total,,2022,BUENOSAIRES,Buenos Aires,72741,1208,1131,39,35,3,890,134,184,100,1.66,1.57,1.76
hlptrue,total,,2022,CABA,CABA,31232,925,850,48,27,0,701,102,122,100,2.96,2.77,3.16
hlptrue,total,,2022,CATAMARCA,Catamarca,2378,23,23,0,0,0,16,3,4,100,0.97,0.61,1.45
hlptrue,total,,2022,CHACO,Chaco,6067,107,107,0,0,0,68,16,23,100,1.76,1.45,2.13
hlptrue,total,,2022,CHUBUT,Chubut,2666,42,40,0,2,0,29,5,8,100,1.58,1.14,2.13
hlptrue,total,,2022,CORDOBA,Córdoba,15086,333,291,19,23,0,215,42,76,100,2.21,1.98,2.46
hlptrue,total,,2022,CORRIENTES,Corrientes,5383,64,64,0,0,0,42,13,9,100,1.19,0.92,1.52
hlptrue,total,,2022,ENTRERIOS,Entre Ríos,5918,81,71,3,7,0,59,10,12,100,1.37,1.09,1.7
hlptrue,total,,2022,FORMOSA,Formosa,2497,28,26,2,0,0,19,4,5,100,1.12,0.75,1.62
hlptrue,total,,2022,JUJUY,Jujuy,4693,46,44,2,0,0,27,6,13,100,0.98,0.72,1.31
hlptrue,total,,2022,LAPAMPA,La Pampa,1682,29,28,1,0,0,16,5,8,100,1.72,1.15,2.48
hlptrue,total,,2022,LARIOJA,La Rioja,2935,104,96,3,4,1,73,7,24,100,3.54,2.9,4.29
hlptrue,total,,2022,MENDOZA,Mendoza,9776,242,242,0,0,0,193,24,25,100,2.48,2.17,2.81
hlptrue,total,,2022,MISIONES,Misiones,10108,270,248,11,11,0,202,34,34,100,2.67,2.36,3.01
hlptrue,total,,2022,NEUQUEN,Neuquén,3414,47,44,0,3,0,29,5,13,100,1.38,1.01,1.83
hlptrue,total,,2022,RIONEGRO,Río Negro,2004,36,36,0,0,0,25,2,9,100,1.8,1.26,2.49
hlptrue,total,,2022,SALTA,Salta,10993,194,185,9,0,0,133,23,38,100,1.76,1.53,2.03
hlptrue,total,,2022,SANJUAN,San Juan,6545,57,54,2,0,1,33,9,15,100,0.87,0.66,1.13
hlptrue,total,,2022,SANLUIS,San Luis,3000,61,60,1,0,0,41,9,11,100,2.03,1.56,2.61
hlptrue,total,,2022,SANTACRUZ,Santa Cruz,1533,24,21,0,3,0,21,1,2,100,1.57,1.0,2.33
hlptrue,total,,2022,SANTAFE,Santa Fe,20184,394,380,10,1,3,305,36,53,100,1.95,1.76,2.15
hlptrue,total,,2022,SANTIAGO,Santiago del Estero,4395,79,79,0,0,0,54,19,6,100,1.8,1.42,2.24
hlptrue,total,,2022,TIERRADELFUEGO,Tierra del Fuego,782,10,10,0,0,0,9,0,1,100,1.28,0.61,2.35
hlptrue,total,,2022,TUCUMAN,Tucumán,10350,94,89,5,0,0,71,12,11,100,0.91,0.73,1.11
hlptrue,total,,2023,ARGENTINA,Argentina,211126,3879,3653,91,118,17,2761,493,625,100,1.84,1.78,1.9
hlptrue,total,,2023,BUENOSAIRES,Buenos Aires,69123,1134,1078,19,29,8,799,130,205,100,1.64,1.55,1.74
hlptrue,total,,2023,CABA,CABA,29344,859,790,27,40,2,656,91,112,100,2.93,2.73,3.13
hlptrue,total,,2023,CATAMARCA,Catamarca,1239,12,12,0,0,0,4,3,5,100,0.97,0.5,1.69
hlptrue,total,,2023,CHACO,Chaco,5781,120,115,4,0,1,85,13,22,100,2.08,1.72,2.48
hlptrue,total,,2023,CHUBUT,Chubut,2558,32,30,2,0,0,24,3,5,100,1.25,0.86,1.77
hlptrue,total,,2023,CORDOBA,Córdoba,13259,230,198,11,20,1,157,31,42,100,1.73,1.52,1.97
hlptrue,total,,2023,CORRIENTES,Corrientes,5670,40,38,1,1,0,26,10,4,100,0.71,0.5,0.96
hlptrue,total,,2023,ENTRERIOS,Entre Ríos,4252,58,49,2,7,0,35,10,13,100,1.36,1.04,1.76
hlptrue,total,,2023,FORMOSA,Formosa,2721,30,29,1,0,0,21,5,4,100,1.1,0.74,1.57
